Note,Title,Content,Vote,Answer,View
73483699,Python Scrapy: How do I scrape a Javascript Website via a headless chrome?,I am trying to scrape https://eservices.mas.gov.sg/statistics/fdanet/AverageDailyTurnoverVolume.aspx via a headless Chrome deployed to Heroku which requires that my browser be headless. I note that ...,0,0,10
73483690,Maintaining context across multiple gunicorn workers,I have a gunicorn server which runs on multi-worker environment. When a worker starts it stores some data at /tmp/user_data this location is shared among all the workers so they can use this location ...,0,0,10
73483680,How to update a column only when a row has any changes?,I'm using Python for inserting JSON data into PostgreSQL and wanted to find a way in which I can update a column automatically when a row is updated. Following is the schema for table: CREATE TABLE ...,0,0,21
73483671,I am trying to write a python code to open a text file(txt) and count the number of acronyms in the text file(txt) [closed],"I have tried this code from my side, any suggestion and help is appreciated. To be more specific, I want to create a python program which can count and identify the number of acronyms in a text file. ...",-2,1,45
73483667,How to retrieve data from database in (Async fastapi) sqlalchemy as a pandas dataframe?,I am trying to retrieve data from my sql database (in async fastapi) as a pandas dataframe database = databases.Database(DATABASE_URL) metadata = sqlalchemy.MetaData() engine = create_async_engine(...,2,0,26
73483611,Pytest test failing when run with other tests but passes when run by itself,I very basic test that checks if a user that is not logged in can connect to my websocket that is as follows: @pytest.mark.asyncio async def test_unauthenticated_cant_connect_to_websocket(...,0,0,17
73483602,Apply string in list according to beginning of the strings in a pandas dataframe column,"Let's take an example. I have a list of categories that are identified : L_known_categories = [""Orange"",""Green"",""Red"",""Black & White""]  The strings in that ...",0,1,19
73483598,Phython: How to extract a number,i just started up using phython & i try to help my dad to develop a small program: from a query i get a retun that i converted into a dict as i want to extract the 'last_price': '1704.50'. I tried ...,0,3,35
73483594,Can I use PyOpenCL in integration with Scipy to perform Differential Evolution in parallel with GPU?,"I got my code for simulating a multivariate regression model to work using the Differential Evolution, and even got the multiprocessing option to help out in reducing runtime. However, with 7 ...",2,1,16
73483584,mysql insert resulted an empty string,"I have created a student registration system and installed MySQL as a database to register, update and delete student records. I have checked with the MySQL manual and properly code, my codes as below:...",0,0,24
73483545,pytest mock SQLAlchemy session.add_all() and session.commit(),I am new in unittest and writing test with pytest. I have func: def change_status(something):     with context_session() as session:         # Make something with something         session.add_all()   ...,0,0,14
73483526,Why search retrieve no result? with selenium,I have been trying to scrape this site and sending in the search phrase cause error. AttributeError: 'NoneType' object has no attribute 'send_keys'  I have searched StackOverflow and the error usually ...,0,3,37
73483501,kivy config.ini file not read when system reboot,I am running kivy-kivymd on embedded linux. The purpose of my work is to automatically restart the same python file with a script I wrote in the rc5.d folder when the system reboots. The problem is ...,0,0,11
73483467,I want a code for sumproduct function in python [closed],"enter link description hereI want to calculate nutrition contents for food list for that for each column we have decided quanity per unit. I need to calculate it with ""SUMPRODUCT"" formula in ...",-5,0,27
73483442,Overlaying Pandas plot with Matplotlib is sensitive to the plotting order,"I have the following problem: I'm trying to overlay two plots: One Pandas plot via plot.area() for a dataframe, and a second plot that is a standard Matplotlib plot. Depending the coder order for ...",0,0,18
73483430,query foreignkey field from other field which is foreign key to other,I have model 3 models model 1 2 and 3 i need to access model 1 from model 3 model 2 has foreign key relation with model 1 and model 3 to model 2 how can access model 3 to model 1 class Record(models....,1,1,21
73483426,Filter by string column as a substring of another string,I am trying to filter a dataframe by a string column. I would like the filter to return all rows where this string column is a substring of another string. Any searching I do for this problem leads to ...,2,1,29
73483406,can I add my script/apis to my Django project? If so how can I do this,"So I am building a Django web app, and I want to allow users to search for their desired crypto currency and then return the price. I plan on getting the price from coinbase or some other site that ...",0,1,20
73483401,Python making logic in nested 1d list [closed],"Sorry, I don't know how to call it. But i have a list like this: [4, 5, 6, [7, 8], 9, [10, 11, 12], 13, 14]  I want convert it to [4,5,6,7,9,10,13,14] [4,5,6,8,9,10,13,14] [4,5,6,7,9,11,13,14] [4,5,6,...",-2,0,14
73483375,How to combine two commands using python script?,"How to combine two commands ? Suppose my django project is running through python manage.py runserver command And my fronted is running through npm start command. How to combine these two commands, so ...",0,1,33
73483373,is there a way to make the program read a txt file and tell me what each of the names gender is using python nltk,so I want it to read a text file and tell me what the gender of each of the people is this is my code lines_seen = set()  def gender_features(word):     return {'last_letter': word[-1]} # importing ...,-2,0,18
73483372,How do I scrape the latest linkedin post from all the list of profile links?,"I am using Beautifulsoup and selenium with linkedin scrapping for a project and currently I have gathered linkedin profile links, I would like to scrape the latest posts from all the links, how am I ...",0,0,12
73483357,_tkinter.TclError: image ... doesn't exist,"Can't find any not outdated answers, I'm creating a canvas and running a filepath through PhotoImage so I can create_image in the canvas, but I'm getting an error that says the image {path} does not ...",0,0,13
73483350,why defining only __lt__ makes > operation possible?,"class Node:     def __init__(self,a,b):         self._a=a         self._b=b     def __lt__(self,other):         return self._a<other._a a=Node(1,2) b=Node(0,4) print(a>b)  The code above shows ...",1,2,26
73483333,Reinterpret data in numpy ndarray,"I have a numpy array with dtype=uint8 and shape=(N,4) and i want to convert it efficiently to dtype=int32 and shape=(N,) but nothing I've tried works. The equivalent in c would be brutally casting the ...",1,1,30
73483314,How to replace commas with semi-colon except commas in quotes Apache beam python,"I want to replace commas from text and replace them with semi-colons except for the commas that are in quotation marks. The text lines look like this: '1001,838,""Calabash, Water Spinach"",...",2,1,32
73483284,How to quickly fillna with a sequence,"I have a question about how to quickly fillna with a sequence in Python(pandas).I have a dataset like following(the true dataset is longer), Time Number t0 NA t1 NA t2 NA t3 0 t4 NA t5 NA t6 ...",1,2,45
73483280,Python - overlaying two series using matplot showing percentage change of the Series,I'm new to Python and would like to map two series S1 & S2 on top  of each other where they both start at the same point on the left hand side and are then graphed as a percentage change and ...,0,0,18
73483269,while loop and BeautifulSoup,"I want to scrape players' stats from NFL website. Data is distributed on different pages and while there is ""next page"" link, I want to scrape data and combine into one dataframe. Here is my ...",-1,1,26
73483259,Jupyter Notebook: functions don't register,"I am having issues using Jupyter. I can't get any output from it, and in particular whenever I write any function that doesn't seem to ""register"" the way it does in VS Code for example (the ...",0,0,20
73483195,how to send log at the end of script or when invoked? using logger module,"there is the logger module and SMTPHandler which when i register it sends email on every log. is there a way to tell the SMTPHandler class to ""store"" the logs and only send upon called or  ...",0,0,13
73483173,How can filter rows based Datetime on loop in pandas,"def pairwise(iterable):     """"""s -> (s0,s1), (s1,s2), (s2, s3), ...      https://docs.python.org/2/library/itertools.html     """"""     a, b = tee(iterable)     next(b, ...",0,0,29
73483131,Edit row of DataFrame IF row contains specific string,I have multiple dataframes stored in a dictionary. Each dataframe has 3 columns as shown below exceldata_1['Sheet1']                        0                     1       2 Unnamed: 0  Sv2.55+Fv2.04R02[...,0,1,37
73483119,How to bypass / disable captcha using selenium + js?,The code below results in a captcha when the registration form becomes visible. import random from time import sleep  from selenium.common.exceptions import ElementClickInterceptedException from ...,-1,0,20
73483114,matching pins check pin location and layer is matching,Please help me to come out from this. I am beginner to programming(python code). much much thanks in advance. There are two files consist of these data FILE 1 PIN i_hbmc_ieee1500_sel_wir DIRECTION ...,-3,1,37
73483097,How to assign value to a variables based on different combination of multiple flags?,"I have a function which creates a variable based on different combination of 3 arguments (2 boolean flags and 1 String). def get_alg_parms(exc_fac_clm: bool, exc_prof_clm: bool, date_type: DateType) -&...",-2,0,19
73483091,Animating a QGraphicsTextItem by sublassing QGraphicsObject,I wish to animate a QGraphicsTextItem. I have learnt that it itself doesnt have pos attribute so with references from here : QGraphicsObject with QPropertyAnimation in PyQt I created the following: ...,0,0,5
73483083,Reading one column of a csv file using numpy,I have a file test1 which has 2 columns and about 2000 rows. i want to work on just 1st column. I am using numpy for the same but the program is printing elements of both the columns. My data is like ...,0,2,29
73482391,how to label data in csv file as outlier detecetd by DBSCAN clusttering,i am using DBSCAN for clustering data so I can label the data which is anomalous here is my code I wanted to print 1 in front of outliers records in my csv file but for now my code is just telling the ...,0,0,16
73482368,Does flask.render_template() create variables with the None keyword assigned to them?,"I have 4 files: flask_blog.py from flask import Flask, render_template  app = Flask(__name__)  @app.route(""/"") @app.route(""/home"") def home_page():     return render_template(""...",0,0,22
73482335,Python: Iterate through list of list and print the max value and index,"I am trying to iterate through list of list to find out the max value in each sublist along with the index. data =tensor([[0.78,0.98,0.55,0.23],[0.82,0.45,0.56,0.33],[0.65,0.92,0.51,0.21]]) I need the ...",-1,3,32
73482314,One Hot Encoder Classes,I have a data with 46 classes. Because the 46th class is small in splitting it moves to tet and it doesn't exist in train. now my onehotencoder has 45 classes but after all I need to train my model ...,1,1,33
73482309,Custom Model relation with Django User Model Pls help i am new to Django rest Api,"I am new to Django Rest API for user model i am using Django default user model. my end end goal is when user login he will able to see data only related to him I want my value like this { ""user&...",0,0,19
73482307,Issues installing python typedb-client on macOs m1 architecture,"When I try to install the python typedb-client using pip, I get several errors concerning grpcio: Building wheels for collected packages: grpcio   Building wheel for grpcio (setup.py) ... error   ...",1,1,10
73482302,Is it possible to limit no of markers in a matplotlib plot?,"I have a fitted distribution curve where I would like to limit no. of markers. I need only 30 makers. I could do it by using markevery= with a decimal number, but I feel like it's not a good practice. ...",0,0,14
73482289,Pass variable in a session into another route [Python FLASK],"I'm developing a website using Flask to process a response call from API, show the Data and then give option to download the data in .csv file for the user. I have two API miner (miner_1 & miner_2)...",0,0,15
73482284,cv2.rectangle isn't showing up on an image,"So, I am working on a project to detect pingpong bat and ball in a picture. For the preprocessing part, I have done this where I have converted an image fromm RGB into HSV and using colour range, I ...",-2,0,26
73482253,Query entire json with all its nested properties,"I want to be able to search the entire jsonb with all it's nested properties for a specific string Here is what I have tried query = con.query(Table).filter(Table. json_column['data'].astext == f""...",0,0,18
73482223,Flask does not render this html file even though the path and endpoints are correct,"This is the endpoint and function I'm trying to trigger @app.route('/brain', methods=['POST', 'GET']) def render_DBS():     return render_template('DBS.html')  Here is the HTML code <h5 class=""...",0,0,6
73482209,KeyError: Start while using streamlit,"I get following error when trying to run my streamlit application. KeyError: 'start' Traceback:  File ""c:\users\hx\anaconda3\lib\site-packages\streamlit\runtime\scriptrunner\script_runner.py""...",0,0,18
73482188,Using the data from current request only,I have a page where i enter the data and save it on the model and simultaneously some other event occurs lets say some other data creation is happening with the data for this i am using a query .all() ...,0,1,26
73482168,Implementing Skip Connections on Pre-trained Resnet18 Encoder,I have designed a custom Decoder for Pretrained Resnet18 Architecture for Image Segmentation task. The Decoder fails to work with Encoder if skip connections are used. But works absolutely fine when ...,0,0,10
73482153,Flask routes return 404 when using add_url_rule,I am trying to convert my flask app's routing from using the @app.route decorator to using centralized URL mapping with add_url_rule (following this page from the Flask docs). Flask runs and returns ...,0,0,16
73482138,"How to receive child_process from python, and execute javascript code at the same time?","I am trying to write a js call yolo in python to complete the detection of people and return the coordinates of the person to js, and then move the camera const yoloProcess = spawn(   ""C:\\Users\\...",0,0,19
73482118,how to apply Slack app_home_opened event in Python Flask Slack App,"I am currently working on Slack Event API to show the Home tab in the existed Slack App. So, I am struggling to implement app_home_opened from the Slack Event API to the app. The app is developed by ...",0,0,10
73482110,what is fastest way to convert pdf to jpg image?,"I am trying to convert multiple pdfs (10k +) to jpg images and extract text from them. I am currently using the pdf2image python library but it is rather slow, is there any faster/fastest library than ...",0,1,30
73482088,Fail to insert data into mysql table using python script,"i'm trying to insert data from my python script into my sql table. The script run with no error, however when i check in the table no data actually inserted. I have search around the internet and ...",0,1,29
73482071,Trying to web scrape but I am receiving HTTP Error 403: Forbidden,"I'm trying to web scrape 13F fillings from the SEC site; however, I am running into HTTP Error 403: Forbidden. I read that using User-agents may be a solution but I am struggling to implement them ...",0,0,19
73482070,How can I speed up the computation of a specific function?,"I have a df and need to count how many adjacent columns have the same sign as other columns based on the sign of the first column, and multiply by the sign of the first column. What I need to speed up ...",2,1,49
73482059,Get the price in the steam market,"I need to get the sale price of an item on certain days. How can this be done? I tried making a request through the api steamapis.com because there is a suitable parameter there: median_history_days, ...",0,0,12
73482044,Read and Save rtsp stream using FFMPEG using python with less memory size,"I am trying to read a rtsp stream and save in a file, for that I am using the ffmpeg in python import ffmpeg  stream = ffmpeg.input(rtsp_link, t=10) print(stream)  file = stream.output(""test.mp4&...",-1,0,14
73481996,Django auth PasswordReset views not working when placed on other apps,"The login/logout system for LoginView and LogoutView works fine.  The password reset system for PasswordResetView, PasswordResetDoneView, PasswordResetConfirmView, PasswordResetCompleteView however, ...",1,0,19
73481977,Image translation,Anyone can help me. I have image with text in French language how I want to convert into language however it should be translate in same format in python. Format should not get change. I tried OCR and ...,-1,0,13
73481951,Metpy Brunt-Vaisala Frequency feature is returning with NaN,I am using metpy to calculate Brunt-Vaisala frequency and the code is running fine but my array of values is being retuned as a bunch of NaN values. I have a few weird things in my code to fix other ...,0,0,9
73481948,import xls2xlsx got error as No module named 'currency-symbols',"when I import xls2xlsx, I got error:  File ""C:\Program Files\Python310\lib\site-packages\xls2xlsx\htmlxls2xlsx.py"", line 41, in  currency_symbols_constants = importlib.import_module('...",0,0,11
73481936,Redirect output of python script in new cmd into a text file,"I would run a child process from NodeJS start cmd.exe python test.py arg1 arg2 >> output.txt all on windows environment. However, no output is shown in the text file. But when I remove the start ...",2,0,26
73481929,Tensorflow: Need access to layer inputs of a batch individually,"I am looking to implement custom regularisation for my CNN layer. However, one step in my custom regularisation function involves taking an average of all layer inputs in that batch. How do I code/...",-3,0,26
73481896,"pandas insert many new columns from existing columns raises ""highly fragmented warning""","My code is like this: df.columns = ['cpu_0', 'cpu_1', 'cpu_2', 'cpu_3'..., 'cpu_47'] for i in range(48):     df['new_cpu_{}'.format(i)] = df['cpu_{}'.format(i)] * 100  There are about 180k rows in the ...",0,1,16
73481838,error 403 I can't pass values from forms to code in python,"enter image description hereI need to pass the input value from html in python, but I get a 403 error in the hosting process. If you run the code itself from a file .py, then it works and sends a ...",0,0,21
73481827,QTableWidget return current item but return previous value when clicked,"Im trying to write function: when click to one value in QtableWidget, this value will show up on lineEdit. But i have a problem: the return value is previous value and i must click one more time,...",1,1,11
73481815,Reference Column with spaces through the “dot” method / attribute access (df.column_name) [duplicate],"This is a very basic question, but I believe it’ll help someone out there (including me). When a data frame is created and we want to reference the column name, we can do so by the following: df[“...",0,1,25
73481784,Solving a matrix with Crammers Rule in python [duplicate],I'm trying to make a function where I can give it a matrix and the constants and solving it using crammers rule. This will soon be used with complex numbers. import numpy as np import sympy as smp  ...,0,1,28
73481781,How to solve second order SQL injection attacks vulnerability?,I'm facing a challenge while deploying a backed application built using Python Flask. The codegate scan is catching up some of the code integrated in the CI/CD process as potential vulnerabilities. ...,1,0,22
73481778,How to optimize queries in django-admin? Too many sql queries because of foreign key,"I have model of product and category: class Category(models.Model):     name = models.CharField(max_length=100, unique=True)  class Product(models.Model):     category = models.ForeignKey(Category, ...",0,0,25
73481770,Recursion python nested list [duplicate],I have this problem E1). L is a list whose elements may be hidden. A hidden element is one that is stored inside one or more lists in the list L. Design a recursive function that displays all the &...,0,1,43
73481709,"How to resolve versionConflict error in Termsteel (PyJWT, flask-jwt-login and argon2-cffi)?","Hi I have a problem whit python packet conflict except that the problem is not so simple, it is not enough just to solve this conflict. I don't want to change my code, what can I do? Error :  ERROR: ...",0,0,7
73481685,How to stop selenium to download chromedriver everytime,"I'm always using the following code to initiate my selenium web driver. But the problem is, it always tries to download the latest chrome driver. How can I prevent this behavior and just let it update ...",0,2,18
73481675,How can i remove an value in a list [duplicate],"class List:     def __init__(self, list):         self.list = list          def delete(self, index):         if self.list.index(index) in self.list:             self.list.pop(index)         else:      ...",-1,2,53
73481665,Python txt Encrypter and Decrypter- 'Decrypter' Not Working,"import random  a = random.randint(1, 99999999) b = random.randint(1, 99999999) c = random.randint(1, 99999999) d = random.randint(1, 99999999) e = random.randint(1, 99999999) f = random.randint(1, ...",-2,2,27
73481660,python pyOsmium can not create geojson,I try: python3 convert.py map.osm data.geoJSON  and get: RuntimeError: Could not detect file format for filename 'data.geoJSON'.  help me. Thank you,0,0,12
73481659,How to give a space between 'apple' and 'is ' in a code written in python?,"I have coded Apple is the favorite fruit of SP in python. But in the output, I got: Appleis the favorite fruit of SP Plz, help me to identify the mistake and tell me how to add a space between Apple ...",0,3,32
73481612,Python DF - apply same procedure to multiple columns using multiple parameters,"I have a dataframe with id, v1 and v2. For v1, first, for each id I pick the first 4 rows (lookback or lb=4) . Then within these 4 rows, I identify the top 3 value of v1 and create a table for these ...",0,0,17
73481595,Fitting data in python using curve_fit,"I'm trying to fit data in python to obtain the coefficients for the best fit. The equation I need to fit is:  Vs = a*(qt^b)(fs^c)(ov^d)  Whereby I have the data for qt, fs and ov and need to obtain ...",0,0,13
73481583,Multi-class image classification model has high test accuracy but low prediction confidence,"TDLR: To put it simply, although my model is predicting correct classes, it is not very confident about those correct predictions. My dataset contains 32x32-sized images for 46 classes. I have trained ...",1,1,24
73481582,"On a mac Big Sur v 11.6, the terminal won't let me run anything with Python","I just installed python 3.10 and I followed a tutorial that told me to create an alias so that the pre-installed 2.7.6 won't run. I tried to use nano ~/.bash_profile  and add alias python=""...",-1,0,22
73481541,Python scipy find_peaks return empty,"I try to find peaks of below array using the scipy find_peaks function. Array = np.array([84.6345, 84.643, 84.6375, 84.568, 84.524, 84.5345, 84.5305, 84.548, 84.562, 84.6295, 84.668, 84.5795, 84.565, ...",0,1,14
73481517,How to classify items in list with keywords in python?,"I am trying to classify the items in WBS4_ELEMENT_list  with keyword ""UPGRADE"" and ""REUSE"". If the item in WBS_LONG_TEXT_list  has ""UPGRADE"" or ""REUSE"", the ...",-2,0,26
73481513,How to convert a Json with multidimensional array into a dataframe,"Hy guys, i'm having a problem to convert this json into a dataframe. I have requested this json using an API: import requests import pandas as pd import json  acordo_leniencia = requests.get(...",0,0,11
73484658,Use apache beam arguments within the pipeline,"What is the best practice to get arguments from pipeline_options? Dummy code example: known_args, pipeline_args = parser.parse_known_args() pipeline_options = PipelineOptions(pipeline_args) with beam....",0,1,14
73484657,Date validation program not printing custom error,"My program converts a date to the 'dmy' format & checks if it's 'Ambiguous', 'True' (no ambiguity), or 'False'. I have used 'Date Parser' in this program . When any of the dates is impossible (say ...",-1,1,8
73484654,How self.anchors is not self. declared in the __init__ but it's used in the method?,"class Detect(nn.Module): stride = None  # strides computed during build onnx_dynamic = False  # ONNX export parameter export = False  # export mode  def __init__(self, nc=80, anchors=(), ch=(), ...",0,1,11
73484649,How to evaluate XSLT processor parameters in a local context?,Let's say I have this source XML: <A>    <B>something</B>    <B>something else</B> </A>  and I want to transform it into this target XML: <C>    <D>...,0,1,16
73484641,How to scrape hidden links embedded in one page,"I am attemping to scrape links in this web page, the links appears when i click each button, it's a GET request and the type is html not json, so any help of collecting the URLs in this web page, I ...",-1,0,16
73484625,An if statement [closed],Write a program to prompt the user for hours and rate per hour using input to compute gross pay. Pay the hourly rate for the hours up to 40 and 1.5 times the hourly rate for all hours worked above 40 ...,-10,0,22
73484615,"Is there an equivalent for the SAS ""intnx"" command in python?","I am a beginner in python and stuck on translating a piece of code from SAS to Python (see below). How would I recreate the ""intnx""-command in line 10 in Python, which introduces a 3-month-...",1,0,13
73484611,Updating a feature class in ArcGIS geodatabase directly from python,"I am working in ArcGIS (not the pro version) all my data are stored in a geodatabase. I have many feature classes (layers) with a code column and an id column, both of these hold strings. I would like ...",0,0,12
73484610,Python NetworkX TypeError: greedy_modularity_communities() got an unexpected keyword argument 'cutoff',"I applied algorithm greedy_modularity_communities() by NetworkX using parameters described in documentation: c = list(greedy_modularity_communities(G, cutoff=3, best_n=7))  This led me to the ...",0,0,13
73484605,How to decide which tool to use for data analysis? [closed],"Hi we have so many options to analyse data sheets , ms-xl, sql, R how do we decide which tool to use?",-1,1,19
73484562,Flask Arabic Translation using Babel not working,"I am using Flask-Babel to provide i18n to my flask app. The 2 languages used are Arabic and French, French being the default one. I tried testing some translations before starting the work and I ...",0,0,11
73484539,"The discord register system with Python gives an error ""Invalid-response""","I am trying to create a discord register system via Python. But hCaptcha gives the ""Invalid-response"" error. Is Discord the real cause of this problem or is there a different factor? from ...",0,0,10
73484538,What is the best practice for multiple error handling? [closed],"Let's say I am expecting 3 types of error due to user input, what is the best practice for handling it? try:    verify(user_input) except ValueError:    ... except IndexError:    ... except Exception: ...",-2,0,14
73484512,delete replied message pycord,"how can I make my bot delete the message I've replied in discord.py? I have only code for standard clear command @commands.has_permissions(manage_messages=True) @bot.slash_command(description=""...",0,0,16
73484500,useEffect fires and print statements run but no actual axios.post call runs reactjs,"I have a useEffect function that is firing due to yearsBackSettings changing and the console.log statements inside useEffect fire too: useEffect(() => {     console.log(""something changed""...",0,0,15
73484490,Python cross correlation - confusion with results,"I think I am missing something rather fundamental with cross correlation. I have two timeseries, x and y (pandas series, with DateTime index, equal length). I would like to check time alignment - e.g. ...",0,0,9
73484467,How to export shapley values to dataframe?,"I'm currently studying Explainable AI using Kaggle's california housing prices data. In it, I would like to know what is the value of all features based on SHAP value in SHAP Summary Plot. import shap ...",0,0,13
73484457,how to create schema of a delta table in databricks by using column names from text file,"I have a text file which stores all the column names for ex: text file contains following data table1=['column1','2_column2','3_column3'] table2=['column4','5_column5','6_column6']  I need to fetch ...",0,0,14
73484453,Plotly graph exported as html is not shown at all on mobile phone,I've been creating different graphs using python plotly and then exporting them as html. They worked perfectly on computers but they completely dissapear and nothing is shown in mobile phone devices. ...,0,0,7
73484439,web scraper too slow (what can i do to speed up my scraper?),here is my code ..it is very slow I am not scraping a lot of data. My file size is 188 KB..i think the problem is i am getting all the internal url links from a website and scraping each one to find ...,0,1,16
73484419,Django url path regex: capturing multiple values from url,"How do I capture multiple values from a URL in Django? Conditions: I would like to capture ids from a URL. The ids vary in length (consist of numbers only), and there can be multiple ids in the URL. ...",1,2,18
73484417,How to load video using python,I have a video saved in .avi format i wanted to see the video to see the video using python. By seeing i wanted to :-  watch the video get every frame(array) of the video.,-1,1,10
73484414,Why am I getting an error when requestting query params and headers with a GET HTTP request using requests? [closed],"I am trying to get info with HTTP get request using requests in python and while doing so I got error 400 while trying to pass both params and headers into the request, I then tried passing only ...",-1,0,14
73484411,"Can I plot ROC curve for multiclass text classification problem, without using OneVsRestClassifier?","I have a pickle file that when loaded returns a trained RandomForest classifier. I want to plot the ROC curve for the classes, but from what I read online, the classifier must be wrapped in scikit ...",0,0,14
73484406,Git-bash not displaying Unicode with logging,I am having trouble displaying Unicode characters on git-bash when working with Python's logging.  Without logging - everything works fine. With cmd - everything works fine. With PyCharm - everything ...,0,1,16
73484389,Encode only ascii characters in string keeping non ascii characters same [closed],I want to encode string in python3 but want to keep non-ascii characters intact Original String : 587-43/New Folder kn/Dec 31%2c 2015 – Moody’s Report to Lenders.pdf Encoded String : 587-43/New%...,-1,0,16
73484386,Exporting collapsible table to HTML,"I would like to export a jupyter notebook containing collapsible tables to HTML. It is possible to produce collapsible tables using accordions from ipywidgets. Yet, the latter disappear when exported ...",0,0,9
73484376,Select a row from secondary dataframe to place adjacent to primary dataframe fulfilling a condition,I have two dataframes which are ranked in the order of priority (i.e higher priority at the top and lower priority at bottom) and they need to be appended (meaning combine all the columns to build a ...,0,0,23
73484320,sosfilt with cyclic boundary conditions?,"I am using the digital bandpass filter of sosfilt according to the second answer to this question def butter_bandpass(lowcut, highcut, fs, order=5):     nyq = 0.5 * fs     low = lowcut / nyq     high =...",0,0,15
73484315,how to validate the count between nested json file and dataframe,I have a nested json file in my blob storage which I'm reading through databricks using read_json and loading into dataframe. I need to create a test case like whether all records present in json file ...,0,0,24
73484293,ruamel.yaml yaml_set_comment_before_after_key insert after params not work,"I have tried to insert one line comment after one key, but not worked, if insert before one key, the code can work. import sys import ruamel.yaml from ruamel.yaml.comments import CommentedMap  temp = ...",0,1,10
73484282,How to reset a values in a dataframe pandas [duplicate],I've this kind of dataframe:           x        id 22761   value1      1 24623   value2      2 27722   value3      4  My purpose is to make id column's value contiguous in this way:           x        ...,0,1,20
73484281,"How to use python(ml, image processing) + golang?",i'm new in machine learning I need to make image processing on mobile app in my college project and i need to use golang as main stack of api and use image processing with python(i have not decided ...,0,0,12
73484268,undefined reference to `fcntl64' when trying make mesapy,"I am going to start my work with mesapy, when I want to start helloworld sample, after running command make in the directory I get error undefined reference to `fcntl64' : ~/mesapy/sgx/examples/...",1,0,13
73484259,How do I create separate columns of data based on string letter inside the list of tuples?,"I have a column inside the pandas dataframe that looks as below.. Column A [(book, Noun), (car, Noun), (expansive, Adj), (read, Verb)] What if I want to split the content of this Column A to three new ...",0,0,9
73484255,How to call a python script with command line arguments from another python script with command line arguments?,I have two files file1.py and demo.py. What I am trying to do is that I want to call demo.py from file1.py with command line arguments as following: python demo.py --config-file output/config.yaml --...,0,0,17
73484253,Sorting strings in Python with numbers somewhere in the middle,"I want to find a way to sort strings that have numbers in them by their numerical size. I found one way to sort strings that contain only numbers, which works well (Sorting numbers in string format ...",0,2,35
73484237,Apply matplotlib to find linear relation between two column but it shows an KeyError,"To find the linear relation, I apply this function. import matplotlib.pyplot as plt %matplotlib inline plt.scatter(df['Mileage'],df['Sell Price($)'])   but it shows an error  KeyError: 'Sell Price($)'",-1,0,13
73484213,Python script to process some data from one file and write output in another one,"I am completely new to Python and I would like to know how to process some data from one file and write the output to another one, using a python script. inputFile.txt is // * * * * * * * * * *   ...",0,0,11
73484206,How to add a suffix to the first N columns in pandas?,"I want to add a suffix to the first N columns. But I can't. This is how to add a suffix to all columns: import pandas as pd  df = pd.DataFrame( {""name"" : [""John"",""Alex"",&...",2,3,24
